Description,TotalSalesDollars,ProfitMargin
Billette Bousquet Prov Rose,1067.11,22.76709992
Binyamina Cab Svgn,2280.32,4.26694499
Binyamina Chard,1673.67,15.75459917
Biokult Gruner Veltliner,279.8,18.34167262
Bird Dog Chocolate Whiskey,8970.27,48.15719036
Bird Dog Hot Cinnamon Whisky,152.91,24.24955856
Bird Dog Maple Whiskey,1865.46,31.44318291
Bisol Crede Prosseco Super V,263.88,34.60663938
Bitch Vodka,945.57,39.35086773
Black & White Scotch,3481.71,17.75880243
Black Box Moscato B/B,134.91,70.76569565
Black Button Citrus Gin,9032.83,73.71366449
Black Pearl Oro,8298.96,21.09372741
Black Stallion Chard Napa Vy,2670.33,9.579714867
Blackbird Vyds Arise Red,3550.33,34.51538308
Blackstone Delectable Red,4646.64,39.89075977
Blackstone Montry Pnt Grigio,5561.66,37.25146809
Blackstone Syrah Cal,1527.24,26.76134727
Blackstone Winemakers Malbec,419.3,83.25542571
Blackstone Znfdl Cal,3721.71,33.20247951
Bleu de Mer Rose,9404.76,29.70219336
Bliss Cab Svgn,363.74,5.778853027
Bliss Chard,5570.56,35.546875
Bliss Merlot,167.88,32.88062902
Blood Orange Liqueur,3158.82,87.35762088
Bloom Gin,3782.28,85.57774676
Blossom Hill Chard,7154.49,30.39252274
Blossom Hill Merlot,791.28,21.65605096
Blossom Hill Wh Znfdl,263.76,19.35850773
Blue Chair Bay Coc Spced Rum,645.66,36.25127776
Blue Chair Bay CocSpc Cream,2803.35,84.72684467
Blue Current Junmai Ginjo,5298.21,7.5785973
Bluebird Chardonnay,215.76,32.48053393
Bluebird Pinot Noir,9959.21,34.47311584
Bluegray Priorat DOQ,2356.69,30.118938
Bocelli Prosecco,4728.51,39.3739254
Bocelli Sangiovese,431.76,32.40689272
Bodega Elena de Mendoza Mlbc,1013.55,96.71254502
Bodega Garzon Albarino,179.88,35.09006004
Bodega Noemia D Patagonia 13,2873.85,13.066096
Bodegas Borsao 14 Rose,8417.12,39.74661167
Bodegas Faustino V RSV Rioj,6701.01,35.57239879
Bodegas Jeromin Zesto Rosada,287.76,31.02585488
Bodegas Numanthia Termes,815.66,20.12725891
Bodini Malbec Mendoza,457.62,28.04073249
Boen Pnt Nr RRV,1949.35,1.119347475
Bolla Bardolino,6721.79,36.40265465
Bolla Merlot,4383.84,38.99526443
Bolla Prosecco 3pk/187mls,1573.95,94.7444328
Bolla Soave,2132.5,32.24853458
Bolla Torr'Alta Veronese Ros,2050.92,41.13861096
Bolla Valpo Ripasso Cls Sup,683.46,42.8759547
Bollinger Brut Grande Annee,7787.41,81.55176111
Bollinger R.D. 2002,3359.88,61.36945367
Bols Amaretto Liqueur,5155.95,43.13306545
Bols Anisette,1588.41,15.67668297
Bols Apricot Flavored Brand,670.39,23.11191993
Bols Blackberry Brandy,560.49,23.79168228
Bols Brown Creme de Cacao,1998,25.04504505
Bols Butterscotch,319.68,23.61111111
Bols Cherry Flavored Brandy,2593.64,35.2431332
Bols Creme De Noyaux,1108.89,15.34958382
Bols Creme de Banana,2467.53,30.9045888
Bols Creme de Cassis,1828.17,32.16166987
Bols Genever Amsterdam,164.95,20.00606244
Bols Green Creme De Menthe,4795.2,27.65890891
Bols Lychee,139.86,28.02802803
Bols Maraschino Liqueur,218.31,19.0142458
Bols Melon Liqueur,869.13,45.40057299
Bols Peach Flavored Brandy,2329.88,18.13183512
Bols Peach Schnapps,6088.97,49.98554757
Bols Peppermint Schnapps,1318.68,37.19173719
Bols Pomegranate Liqueur,465.01,50.46558139
Bols Pumpkin Spice,6183.81,67.18657268
Bols Sloe Gin,1338.66,32.35175474
Bols Strawberry Liqueur,1568.43,36.29808152
Bols White Creme De Cacao,3786.21,14.74429575
Bols White Creme De Menthe,219.78,13.04941305
Bols Yogurt Liqueur,1857.57,66.33881899
Bon Affair Svgn Bl Spritzer,9076.91,44.58391277
Bonal Apertif,56.97,35.4923644
Bongiovanni Dolceo D'Alba,815.52,83.10771042
Bonnie Rose Orange Peel,8035.65,59.00269424
Bonnie Rose Spiced Apple,7419.07,60.913969
Bonny Doon Clos de Gilroy Rd,860.43,52.30291831
Bonpas Blanc Rhone Vly,2547.96,34.08138275
Bonpas Ch du Pape Rouge Rsv,5976.59,58.86985723
Bonterra Pnt Nr,1075.31,46.50100901
Boones Sangria,391.69,30.57775281
Boones Strawberry Hill,1988.35,32.58028013
Booth's Cask Mellowed Gin,3783.14,76.39104025
Borealis Northern Whites,1706.78,26.9361019
Bota Box Rsl,2094.88,28.60307034
Bota Brick Cab Svgn,427.59,34.18929348
Bota Brick Chard,269.74,20.99058352
Bota Brick Pnt Grigio,387.63,17.52960297
Bota Mini Cab Svgn,6802.95,36.27411638
Bota Mini Merlot,258.66,12.31732777
Bota Mini Moscato,593.96,17.31261364
Bota Mini RedVolution,614.63,25.14520931
Botani 13 Muscat Srra Malaga,4074.58,62.47171488
Botromagno Gravina,89.88,30.97463284
Bouchard Aine & Fils Pnt Nr,7971.76,3.679112266
Boundary Breaks Dry Rsl #239,721.62,12.86272553
Boundary Breaks OLN Rsl,6440.83,15.11653001
Boundary Breaks Rsl Rsv #198,359.82,8.687677172
Bouvet Brut,2064.21,32.93124246
Bouvier Marsannay Rose,545.79,62.64497334
Bouvier Morey St Denis Rue d,1812.63,98.1981982
Bouza Tannat Las Violetas,5664.99,32.30085137
Bouza Temp Tannat,699.72,15.41759561
Bowman's Gin,144.67,19.7069192
Bowman's Light Vodka,618.88,75.84022751
Bowman's Rum,172.27,15.63243745
Bowmore Legend Single Malt,242.91,51.64464205
Bowmore Mizurana,7999.92,72.01497015
Boya Pnt Nr,7867.08,44.44444444
Boya Svgn Bl,6995,65.54110079
Brancott Estate 'B' Svgn Bl,31.47,35.08102955
Brancott Pnt Nr Marlboro,7065.19,39.09576388
Brandborg Benchlands Pnt Nr,24.99,32.41296519
Bregeon Muscadet Sevre et M,1613.15,62.09155999
Brenne French Sng Mlt Whisky,3275.22,89.15187377
Bridlewood Blend 175 C C,4453.27,28.97645999
